k method num_movies num_users base test MAE RMSE Recall time matched_only
160 2 3952 6040 u2.base u2.test 0.906869 1.18922 0.637289 682.421 0
80 3 3952 6040 u2.base u2.test 0.952054 1.25108 0.498368 682.778 0
160 1 3952 6040 u2.base u2.test 0.912609 1.19538 0.63374 727.687 0
40 2 3952 6040 u2.base u2.test 0.946642 1.25999 0.338686 732.232 0
80 1 3952 6040 u2.base u2.test 0.928271 1.22814 0.477402 737.015 0
80 0 3952 6040 u2.base u2.test 0.938898 1.23758 0.505731 773.189 0
40 3 3952 6040 u2.base u2.test 0.983079 1.29799 0.348793 780.022 0
40 1 3952 6040 u2.base u2.test 0.944642 1.25923 0.338531 1118.649 0
320 2 3952 6040 u2.base u2.test 0.876117 1.13987 0.786104 1161.188 0
80 2 3952 6040 u2.base u2.test 0.924689 1.22223 0.478402 1167.032 0
320 0 3952 6040 u2.base u2.test 0.870771 1.1323 0.823076 1174.576 0
160 0 3952 6040 u2.base u2.test 0.91012 1.19166 0.671277 1216.227 0
10 0 3952 6040 u2.base u2.test 0.9959 1.33619 0.149629 1219.458 0
5 0 3952 6040 u2.base u2.test 1.00048 1.35097 0.0866722 1228.996 0
20 3 3952 6040 u2.base u2.test 1.00965 1.33964 0.230888 1230.036 0
20 0 3952 6040 u2.base u2.test 0.980379 1.30936 0.240006 1233.206 0
5 1 3952 6040 u2.base u2.test 0.991458 1.34955 0.0812233 1246.340 0
160 3 3952 6040 u2.base u2.test 0.914884 1.19727 0.667438 1248.317 0
20 2 3952 6040 u2.base u2.test 0.959509 1.28766 0.225004 1254.670 0
10 3 3952 6040 u2.base u2.test 1.0252 1.36811 0.14391 1259.269 0
10 1 3952 6040 u2.base u2.test 0.979907 1.32216 0.140911 1266.656 0
320 1 3952 6040 u2.base u2.test 0.883516 1.14969 0.781325 1270.936 0
10 1 3952 6040 u3.base u3.test 0.97281 1.31428 0.140831 723.717 0
80 0 3952 6040 u3.base u3.test 0.93946 1.23823 0.508401 759.240 0
20 0 3952 6040 u3.base u3.test 0.982696 1.31314 0.240706 783.254 0
80 2 3952 6040 u3.base u3.test 0.927463 1.22718 0.482401 791.669 0
160 0 3952 6040 u3.base u3.test 0.909412 1.18954 0.673992 819.923 0
20 1 3952 6040 u3.base u3.test 0.958988 1.2907 0.226049 831.709 0
20 3 3952 6040 u3.base u3.test 1.01265 1.33963 0.229728 835.903 0
160 1 3952 6040 u3.base u3.test 0.911151 1.19488 0.637104 843.606 0
5 3 3952 6040 u3.base u3.test 1.05766 1.41838 0.0812733 848.493 0
80 3 3952 6040 u3.base u3.test 0.954217 1.25456 0.501972 853.519 0
40 1 3952 6040 u3.base u3.test 0.941288 1.25516 0.339555 878.667 0
160 2 3952 6040 u3.base u3.test 0.906292 1.18831 0.641518 889.251 0
40 3 3952 6040 u3.base u3.test 0.988042 1.30317 0.350658 897.259 0
320 1 3952 6040 u3.base u3.test 0.883153 1.1491 0.785764 937.831 0
40 0 3952 6040 u3.base u3.test 0.965336 1.27918 0.359781 938.971 0
10 2 3952 6040 u3.base u3.test 0.977132 1.31979 0.141566 1013.290 0
320 2 3952 6040 u3.base u3.test 0.875361 1.14068 0.789628 1085.829 0
5 2 3952 6040 u3.base u3.test 0.987195 1.34516 0.0821882 1100.701 0
5 1 3952 6040 u3.base u3.test 0.982167 1.33966 0.0814333 1101.772 0
10 3 3952 6040 u3.base u3.test 1.03808 1.38 0.141761 1102.126 0
320 0 3952 6040 u3.base u3.test 0.86967 1.13129 0.826721 1112.147 0
80 1 3952 6040 u3.base u3.test 0.92976 1.2289 0.478447 1132.949 0
160 3 3952 6040 u3.base u3.test 0.913905 1.19511 0.670443 1135.252 0
20 2 3952 6040 u3.base u3.test 0.960203 1.29036 0.227428 1147.622 0
5 0 3952 6040 u3.base u3.test 1.00476 1.36239 0.0868222 1155.764 0
10 0 3952 6040 u3.base u3.test 0.998335 1.34732 0.150414 1158.175 0
40 2 3952 6040 u3.base u3.test 0.946441 1.25903 0.34055 1161.699 0
320 3 3952 6040 u3.base u3.test 0.871916 1.1335 0.825411 1173.362 0
5 3 3952 6040 u4.base u4.test 1.05051 1.40497 0.0813583 702.791 0
320 1 3952 6040 u4.base u4.test 0.88585 1.15432 0.78118 716.810 0
320 0 3952 6040 u4.base u4.test 0.870439 1.13212 0.822566 720.205 0
5 0 3952 6040 u4.base u4.test 1.00558 1.3602 0.0888618 726.283 0
5 2 3952 6040 u4.base u4.test 0.979483 1.34568 0.0809334 740.728 0
80 2 3952 6040 u4.base u4.test 0.931815 1.2326 0.478302 744.491 0
80 1 3952 6040 u4.base u4.test 0.933532 1.23673 0.477117 767.210 0
10 0 3952 6040 u4.base u4.test 0.99649 1.34139 0.150624 790.847 0
40 1 3952 6040 u4.base u4.test 0.952907 1.26956 0.337051 797.082 0
160 1 3952 6040 u4.base u4.test 0.913902 1.20041 0.6328 799.904 0
160 3 3952 6040 u4.base u4.test 0.915801 1.19805 0.666258 822.676 0
320 2 3952 6040 u4.base u4.test 0.877343 1.14394 0.786379 826.989 0
80 0 3952 6040 u4.base u4.test 0.94091 1.24075 0.502872 844.278 0
10 1 3952 6040 u4.base u4.test 0.983472 1.33032 0.140361 884.603 0
10 3 3952 6040 u4.base u4.test 1.03895 1.38537 0.140436 1137.412 0
80 3 3952 6040 u4.base u4.test 0.952884 1.25297 0.496033 1150.509 0
160 2 3952 6040 u4.base u4.test 0.908518 1.19286 0.636949 1155.280 0
10 2 3952 6040 u4.base u4.test 0.974837 1.32214 0.139756 1156.491 0
20 1 3952 6040 u4.base u4.test 0.968726 1.30194 0.225879 1172.860 0
160 0 3952 6040 u4.base u4.test 0.91051 1.19198 0.669613 1204.175 0
20 2 3952 6040 u4.base u4.test 0.967757 1.29927 0.224914 1209.190 0
320 3 3952 6040 u4.base u4.test 0.872354 1.13385 0.821027 1220.225 0
20 0 3952 6040 u4.base u4.test 0.980161 1.31015 0.238811 1234.928 0
40 2 3952 6040 u4.base u4.test 0.95402 1.26899 0.337346 1242.668 0
40 3 3952 6040 u4.base u4.test 0.982505 1.29782 0.347279 1247.640 0
5 1 3952 6040 u4.base u4.test 0.998691 1.36005 0.0805835 1254.217 0
20 3 3952 6040 u4.base u4.test 1.01121 1.34331 0.228363 1260.059 0
40 0 3952 6040 u4.base u4.test 0.964841 1.27898 0.355717 1274.992 0
40 1 3952 6040 u5.base u5.test 0.951956 1.26446 0.34166 667.719 0
320 1 3952 6040 u5.base u5.test 0.885427 1.15229 0.781493 669.739 0
20 0 3952 6040 u5.base u5.test 0.973812 1.30171 0.242727 681.047 0
20 1 3952 6040 u5.base u5.test 0.96744 1.29535 0.22919 681.879 0
160 1 3952 6040 u5.base u5.test 0.913599 1.19758 0.634795 688.529 0
160 0 3952 6040 u5.base u5.test 0.908265 1.18851 0.671117 696.482 0
40 0 3952 6040 u5.base u5.test 0.955344 1.26605 0.360636 710.352 0
5 2 3952 6040 u5.base u5.test 0.985677 1.35059 0.081982 716.486 0
320 0 3952 6040 u5.base u5.test 0.870624 1.13127 0.823059 755.226 0
40 3 3952 6040 u5.base u5.test 0.977029 1.28987 0.351738 776.833 0
320 3 3952 6040 u5.base u5.test 0.873055 1.13381 0.821139 793.953 0
80 2 3952 6040 u5.base u5.test 0.932745 1.23185 0.482759 811.338 0
10 3 3952 6040 u5.base u5.test 1.02868 1.37339 0.143273 854.594 0
160 3 3952 6040 u5.base u5.test 0.91499 1.19697 0.667523 878.748 0
80 1 3952 6040 u5.base u5.test 0.933404 1.23232 0.480774 1129.193 0
5 1 3952 6040 u5.base u5.test 0.978893 1.33911 0.0824219 1137.440 0
5 3 3952 6040 u5.base u5.test 1.05042 1.41023 0.0826218 1160.704 0
160 2 3952 6040 u5.base u5.test 0.909669 1.19321 0.638939 1164.814 0
20 2 3952 6040 u5.base u5.test 0.963591 1.29583 0.22815 1186.376 0
40 2 3952 6040 u5.base u5.test 0.948854 1.26307 0.342345 1213.416 0
10 1 3952 6040 u5.base u5.test 0.970569 1.31362 0.143079 1218.031 0
80 3 3952 6040 u5.base u5.test 0.948197 1.24669 0.50025 1228.247 0
10 2 3952 6040 u5.base u5.test 0.967047 1.31762 0.143049 1254.025 0
10 0 3952 6040 u5.base u5.test 0.99364 1.33502 0.152606 1255.919 0
80 0 3952 6040 u5.base u5.test 0.934992 1.23171 0.507408 1256.337 0
320 2 3952 6040 u5.base u5.test 0.877859 1.14312 0.787382 1256.975 0
20 3 3952 6040 u5.base u5.test 1.00603 1.33397 0.232324 1263.918 0
5 0 3952 6040 u5.base u5.test 0.997498 1.35288 0.0894103 1271.086 0
